                       trigger        Pbol64[0.001,20000]keV          Sbol[0.001,20000]keV                           Epk                           T90   Log(Pbol64[0.001,20000]keV)     Log(Sbol[0.001,20000]keV)                      Log(Epk)                      Log(T90)                    Log(P64ph)              Log(Eff_Trig_PF)                      Log(EPR)                      Log(EFR)                      Log(ETR)                      Log(FPR)                      Log(TPR)                      Log(TFR)                      Log(EPM)                      Log(EFM)                      Log(ETM)                      Log(FPM)                      Log(TPM)                      Log(TFM)
                          3087                  0.121654E-04                  0.103251E-04                  0.310456E+03                  0.115199E+01                 -0.491487E+01                 -0.498610E+01                  0.249200E+01                  0.614500E-01                  0.127200E+01                  0.114114E+01                  0.740687E+01                  0.747810E+01                  0.243055E+01                 -0.712295E-01                  0.497632E+01                  0.504755E+01                 -0.242287E+01                 -0.249410E+01                  0.255345E+01                 -0.990098E+01                 -0.485342E+01                 -0.492465E+01
                          1443                  0.245990E-05                  0.245348E-05                  0.173380E+03                  0.249597E+01                 -0.560908E+01                 -0.561022E+01                  0.223900E+01                  0.397240E+00                  0.673300E+00                  0.606631E+00                  0.784808E+01                  0.784922E+01                  0.184176E+01                 -0.113445E-02                  0.600632E+01                  0.600746E+01                 -0.337008E+01                 -0.337122E+01                  0.263624E+01                 -0.112193E+02                 -0.521184E+01                 -0.521298E+01
                          6251                  0.507356E-05                  0.619844E-05                  0.331894E+03                  0.300802E+01                 -0.529469E+01                 -0.520772E+01                  0.252100E+01                  0.478280E+00                  0.880500E+00                  0.825227E+00                  0.781569E+01                  0.772872E+01                  0.204272E+01                  0.869691E-01                  0.577297E+01                  0.568600E+01                 -0.277369E+01                 -0.268672E+01                  0.299928E+01                 -0.105024E+02                 -0.481641E+01                 -0.472944E+01
                          7784                  0.499979E-05                  0.860707E-06                  0.118304E+03                  0.191801E+01                 -0.530105E+01                 -0.606514E+01                  0.207300E+01                  0.282850E+00                  0.101200E+01                  0.926563E+00                  0.737405E+01                  0.813814E+01                  0.179015E+01                 -0.764096E+00                  0.558390E+01                  0.634799E+01                 -0.322805E+01                 -0.399214E+01                  0.235585E+01                 -0.113662E+02                 -0.501820E+01                 -0.578229E+01
                          7281                  0.864141E-05                  0.421491E-05                  0.162555E+03                  0.166399E+01                 -0.506342E+01                 -0.537521E+01                  0.221100E+01                  0.221150E+00                  0.122600E+01                  0.112910E+01                  0.727442E+01                  0.758621E+01                  0.198985E+01                 -0.311796E+00                  0.528457E+01                  0.559636E+01                 -0.285242E+01                 -0.316421E+01                  0.243215E+01                 -0.104386E+02                 -0.484227E+01                 -0.515406E+01
                          7939                  0.527510E-05                  0.277213E-05                  0.126183E+03                  0.103901E+01                 -0.527777E+01                 -0.555719E+01                  0.210100E+01                  0.166200E-01                  0.103200E+01                  0.890527E+00                  0.737877E+01                  0.765819E+01                  0.208438E+01                 -0.279417E+00                  0.529439E+01                  0.557381E+01                 -0.317677E+01                 -0.345619E+01                  0.211762E+01                 -0.108350E+02                 -0.526115E+01                 -0.554057E+01
                          3144                  0.403731E-06                  0.341888E-05                  0.603949E+03                  0.665595E+01                 -0.639391E+01                 -0.546612E+01                  0.278100E+01                  0.823210E+00                 -0.365500E+00                 -0.387752E+00                  0.917491E+01                  0.824712E+01                  0.195779E+01                  0.927792E+00                  0.721712E+01                  0.628933E+01                 -0.361291E+01                 -0.268512E+01                  0.360421E+01                 -0.118600E+02                 -0.557070E+01                 -0.464291E+01
                          2424                  0.627642E-06                  0.235353E-05                  0.685488E+03                  0.247002E+01                 -0.620229E+01                 -0.562828E+01                  0.283600E+01                  0.392700E+00                 -0.208300E+00                 -0.275654E+00                  0.903829E+01                  0.846428E+01                  0.244330E+01                  0.574008E+00                  0.659499E+01                  0.602098E+01                 -0.336629E+01                 -0.279228E+01                  0.322870E+01                 -0.118306E+02                 -0.580959E+01                 -0.523558E+01
                          2382                  0.473502E-06                  0.242548E-05                  0.468813E+03                  0.191999E+01                 -0.632468E+01                 -0.561520E+01                  0.267100E+01                  0.283300E+00                 -0.230600E+00                 -0.315957E+00                  0.899568E+01                  0.828620E+01                  0.238770E+01                  0.709476E+00                  0.660798E+01                  0.589850E+01                 -0.365368E+01                 -0.294420E+01                  0.295430E+01                 -0.119399E+02                 -0.604138E+01                 -0.533190E+01
                          1679                  0.361060E-06                  0.229066E-05                  0.347536E+03                  0.454402E+01                 -0.644242E+01                 -0.564004E+01                  0.254100E+01                  0.657440E+00                 -0.277400E+00                 -0.312654E+00                  0.898342E+01                  0.818104E+01                  0.188356E+01                  0.802381E+00                  0.709986E+01                  0.629748E+01                 -0.390142E+01                 -0.309904E+01                  0.319844E+01                 -0.120825E+02                 -0.578498E+01                 -0.498260E+01
                          3146                  0.783623E-06                  0.353564E-05                  0.454988E+03                  0.196300E+01                 -0.610589E+01                 -0.545153E+01                  0.265800E+01                  0.292920E+00                 -0.437000E-02                 -0.880266E-01                  0.876389E+01                  0.810953E+01                  0.236508E+01                  0.654361E+00                  0.639881E+01                  0.574445E+01                 -0.344789E+01                 -0.279353E+01                  0.295092E+01                 -0.115574E+02                 -0.581297E+01                 -0.515861E+01
